Original row	Golub	Expected score (dExp)	 Observed score(d)	Numerator(r)	Denominator (s+s0)	Fold change(Unlogged)	ALL1	ALL2	ALL3	ALL4	ALL5	ALL6	ALL7	ALL8	ALL9	ALL10	ALL11	ALL12	ALL13	ALL14	ALL15	ALL16	ALL17	ALL18	ALL19	ALL20	ALL21	ALL22	ALL23	ALL24	ALL25	ALL26	ALL27	AML1	AML2	AML3	AML4	AML5	AML6	AML7	AML8	AML9	AML10	AML11
6373	Gene6373	1.0712305	5.6507483	891.4512	157.75807	NaN	695.0	812.0	810.0	599.0	282.0	711.0	556.0	1281.0	746.0	513.0	461.0	494.0	315.0	1030.0	333.0	426.0	588.0	666.0	250.0	284.0	137.0	401.0	613.0	513.0	439.0	416.0	430.0	1147.0	478.0	2279.0	754.0	978.0	1690.0	1702.0	1137.0	2014.0	2683.0	974.0
6539	Gene6539	1.1948638	5.666967	1460.6902	257.7552	NaN	162.0	169.0	-18.0	199.0	334.0	117.0	378.0	571.0	-8.0	176.0	139.0	530.0	182.0	452.0	304.0	540.0	1263.0	203.0	1074.0	1071.0	675.0	177.0	417.0	300.0	559.0	342.0	7.0	2274.0	2195.0	478.0	983.0	1017.0	1999.0	727.0	1639.0	1096.0	3397.0	4465.0
2186	Gene2186	-0.4664032	5.684624	7711.876	1356.6202	NaN	1489.0	6084.0	2281.0	2178.0	1094.0	1513.0	2866.0	2129.0	3862.0	1974.0	2561.0	7901.0	3602.0	1204.0	2859.0	1259.0	2689.0	2753.0	815.0	2233.0	5193.0	1026.0	740.0	2785.0	14011.0	2381.0	569.0	13895.0	1908.0	11990.0	9866.0	10899.0	14090.0	13338.0	2306.0	21135.0	12115.0	5902.0
2242	Gene2242	-0.44764474	5.6891456	394.8956	69.41211	Infinity	-88.0	109.0	-53.0	-111.0	139.0	46.0	-77.0	-214.0	94.0	45.0	40.0	267.0	70.0	136.0	135.0	18.0	184.0	10.0	-38.0	17.0	34.0	-23.0	30.0	209.0	13.0	19.0	-100.0	373.0	550.0	425.0	82.0	619.0	864.0	59.0	72.0	692.0	672.0	307.0
2402	Gene2402	-0.39480862	5.7057657	6546.4346	1147.3367	NaN	782.0	368.0	1268.0	882.0	949.0	910.0	826.0	1302.0	1337.0	82.0	737.0	1296.0	160.0	838.0	520.0	478.0	7.0	-144.0	45.0	-862.0	343.0	678.0	1177.0	734.0	502.0	29.0	176.0	548.0	19615.0	9994.0	7791.0	976.0	4108.0	13464.0	1233.0	7955.0	9933.0	2676.0
6803	Gene6803	1.4638609	5.7195377	5600.6025	979.20544	NaN	382.0	3606.0	2997.0	1331.0	3069.0	2850.0	1201.0	1947.0	2629.0	2148.0	969.0	3939.0	210.0	3633.0	735.0	637.0	973.0	1263.0	694.0	888.0	447.0	527.0	1820.0	71.0	515.0	304.0	2331.0	2475.0	3605.0	6268.0	7035.0	7969.0	13195.0	4259.0	2517.0	15519.0	13221.0	2702.0
1674	Gene1674	-0.6453955	5.7254095	8952.721	1563.6821	NaN	5418.0	17348.0	6156.0	7070.0	9017.0	6221.0	4746.0	7881.0	9431.0	5092.0	6027.0	15280.0	6183.0	13077.0	8506.0	3720.0	12676.0	9783.0	4453.0	13988.0	2900.0	6074.0	3729.0	6023.0	13278.0	4718.0	4110.0	16705.0	11012.0	18372.0	12276.0	19173.0	21498.0	12406.0	7855.0	24521.0	21277.0	20124.0
2043	Gene2043	-0.51470274	5.7320447	3497.5117	610.1683	NaN	-115.0	2171.0	-26.0	22.0	244.0	108.0	-45.0	674.0	103.0	252.0	9.0	988.0	-42.0	389.0	-46.0	-48.0	-83.0	944.0	343.0	950.0	64.0	88.0	-85.0	-96.0	560.0	43.0	-269.0	159.0	5824.0	7142.0	499.0	1853.0	6704.0	394.0	72.0	5940.0	6247.0	6530.0
2121	Gene2121	-0.48784232	5.9851303	3820.1045	638.26587	NaN	1410.0	2325.0	2789.0	1132.0	1269.0	1854.0	2735.0	1962.0	2900.0	1855.0	1471.0	1763.0	786.0	2337.0	2035.0	1910.0	4215.0	711.0	1346.0	2273.0	545.0	949.0	1297.0	1343.0	1371.0	1330.0	2127.0	4214.0	2558.0	8793.0	4630.0	7373.0	2771.0	5587.0	3909.0	12358.0	7125.0	2275.0
6200	Gene6200	0.9609256	5.988019	5943.761	992.60895	NaN	292.0	2062.0	-25.0	-2.0	138.0	23.0	107.0	-19.0	104.0	-35.0	189.0	1855.0	3.0	9.0	91.0	73.0	17.0	41.0	16.0	242.0	184.0	155.0	148.0	-146.0	4271.0	29.0	-233.0	10476.0	1653.0	2971.0	688.0	7108.0	13176.0	3693.0	-45.0	11517.0	12979.0	5072.0
