Original row	Gene
5954	Gene5954
6561	Gene6561
5637	Gene5637
5808	Gene5808
173	Gene173
2394	Gene2394
6185	Gene6185
6919	Gene6919
2275	Gene2275
4229	Gene4229
5122	Gene5122
922	Gene922
4377	Gene4377
6677	Gene6677
6405	Gene6405
6005	Gene6005
6378	Gene6378
6041	Gene6041
3605	Gene3605
461	Gene461
1394	Gene1394
4052	Gene4052
1829	Gene1829
6376	Gene6376
6797	Gene6797
6806	Gene6806
6373	Gene6373
6539	Gene6539
2186	Gene2186
2242	Gene2242
2402	Gene2402
6803	Gene6803
1674	Gene1674
2043	Gene2043
2121	Gene2121
6200	Gene6200
2111	Gene2111
3847	Gene3847
1882	Gene1882
3258	Gene3258
1249	Gene1249
6201	Gene6201
2288	Gene2288
1834	Gene1834
4196	Gene4196
5039	Gene5039
1745	Gene1745
2020	Gene2020
4847	Gene4847
3320	Gene3320
